GUID,Title,Doc Type,Body Length,Overall Status,Tool1 Status,Tool1 Issues,Tool2 Status,Tool2 Issues,Tool3 Status,Tool3 Issues,Tool4 Status,Tool4 Issues
8eef8744-4be6-b9e6-df7c-7bc233b4a6bf,AdsDomainQualityRatingProgramGerman(CH)-Applicationdatareport-2025-08-13T164417.8754250000,Spreadsheet,250817,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
9cd8f941-50c7-cfd3-7a57-d8306a6f9c81,AdsDomainQualityRatingProgramEstonian(EE)-Applicationdatareport-2025-06-22T170357.7510500000,Spreadsheet,250812,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
8f3788bc-e33f-63fc-1d1c-4541ec7c2638,sox 04.11.2025,Spreadsheet,250803,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
9c305fa2-cc29-8a49-9612-e781df4a8fd4,AdsDomainQualityRatingProgramDutch(BE)-Applicationdatareport-2025-08-04T164334.1030780000,Spreadsheet,250783,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
d75df130-f418-6eef-0129-8a464e01ff4e,Internet Domain Assessor - Dutch (BE),Spreadsheet,250782,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
6b2701f2-f18a-685f-cbc4-935d54874eab,TIP Barclays Internal Quality - Sep EOM.csv,Spreadsheet,250780,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
3aff74b7-1f1d-f5ae-e177-779175d64819,AdsDomainQualityRatingProgramGerman(CH)-Applicationdatareport-2025-07-31T164028.6361310000,Spreadsheet,250777,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
1a6265d4-1958-0a38-9948-dd639c334cc2,TIP Barclays Internal Quality - Aug EOM.csv,Spreadsheet,250773,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
05b3e0e6-065a-7e04-172b-ba20934295c6,AdsDomainQualityRatingProgramEnglish(IE)-Applicationdatareport-2025-06-19T170347.4395200000,Spreadsheet,250772,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
73b7b52b-c96e-9f3c-1e60-48cb7da06324,AdsDomainQualityRatingProgramEnglish(IE)-Applicationdatareport-2025-06-24T174022.6260810000,Spreadsheet,250769,failed,,Tool 1 failed: None,,Tool 2 failed: None,,Tool 3 failed: None,,Tool 4 failed: None
